factor,factor_name,group,warm_users,cold_users,warm_cr,cold_cr,diff_pp,p_value
income_model,Доход,1,1369,728,0.08473338203067933,0.023351648351648352,6.138173367903097,4.0087434647446216e-08
income_model,Доход,2,4022,1708,0.1225758329189458,0.025175644028103045,9.740018889084276,5.108125748479303e-31
income_model,Доход,3,3669,2733,0.1441809757427092,0.027442371020856202,11.673860472185298,2.8508773362289436e-56
income_model,Доход,4,82,135,0.0975609756097561,0.05925925925925926,3.830171635049684,0.29519163128591197
income_model,Доход,Значение неизвестно,6420,4462,0.1336448598130841,0.04997758852532497,8.366727128775914,1.0441044524323013e-46
age_model,Возраст,0,162,88,0.08641975308641975,0.03409090909090909,5.232884399551066,0.11649256926253723
age_model,Возраст,1,3501,1507,0.14795772636389604,0.0491041804910418,9.885354587285423,2.843038817338037e-23
age_model,Возраст,2,2224,1834,0.1357913669064748,0.021810250817884406,11.39811160885904,1.1042391019490783e-38
age_model,Возраст,3,2318,1688,0.09577221742881795,0.013625592417061612,8.214662501175633,8.745609808919789e-27
age_model,Возраст,4,906,179,0.09602649006622517,0.01675977653631285,7.9266713529912325,0.0004419269141310273
age_model,Возраст,Значение неизвестно,6420,4462,0.1336448598130841,0.04997758852532497,8.366727128775914,1.0441044524323013e-46
platform_model,Платформа,Android,8402,5157,0.1272316115210664,0.0318014349427962,9.543017657827022,1.522682040443102e-78
platform_model,Платформа,MAV,1364,779,0.0813782991202346,0.044929396662387676,3.6448902457846923,0.0012769367718749268
platform_model,Платформа,iOS,5793,3824,0.14224063524943897,0.04367154811715481,9.856908713228416,1.345759797306469e-54
region_model,Регион,Адыгея,65,48,0.12307692307692308,0.0,12.307692307692308,0.01168662173732746
region_model,Регион,Башкортостан,91,58,0.07692307692307693,0.0,7.6923076923076925,0.03048958583752967
region_model,Регион,Владимирская область,221,84,0.40271493212669685,0.2976190476190476,10.509588450764923,0.09012533175112714
region_model,Регион,Другое,1412,1026,0.0764872521246459,0.025341130604288498,5.11461215203574,4.487700476884542e-08
region_model,Регион,Краснодарский край,3991,2283,0.11225256827862691,0.026719229084537888,8.553333919408903,7.472347926194858e-33
region_model,Регион,Ленинградская область,605,391,0.0628099173553719,0.028132992327365727,3.4676925028006176,0.013475609955689142
region_model,Регион,Москва,532,308,0.06390977443609022,0.04220779220779221,2.1701982228298013,0.1872301353918221
region_model,Регион,Московская область,329,175,0.06990881458966565,0.017142857142857144,5.276595744680851,0.010782226221309749
region_model,Регион,Нижегородская область,1577,1119,0.21116043119847813,0.05093833780160858,16.022209339686956,2.2057828004677627e-31
region_model,Регион,Ростовская область,2190,1350,0.16073059360730593,0.03777777777777778,12.295281582952816,4.713671219125689e-29
region_model,Регион,Санкт-Петербург,2797,1906,0.1519485162674294,0.04512067156348373,10.682784470394566,6.7761960770623565e-31
region_model,Регион,Свердловская область,584,311,0.008561643835616438,0.003215434083601286,0.5346209752015152,0.3506691350726914
region_model,Регион,Ставропольский край,88,58,0.11363636363636363,0.034482758620689655,7.915360501567398,0.0883885293387743
region_model,Регион,Татарстан,941,546,0.12008501594048884,0.04945054945054945,7.06344664899394,6.9280242035959125e-06
region_model,Регион,Челябинская область,80,40,0.05,0.025,2.5,0.5182416111597715
region_model,Регион,другой регион,59,63,0.11864406779661017,0.031746031746031744,8.689803605057843,0.06651219299156047
responses_bin,Количество откликов,0 откликов,333,8566,0.036036036036036036,0.03852439878589774,-0.24883627498617014,0.8167314127747526
responses_bin,Количество откликов,1 отклик,1496,741,0.05949197860962567,0.022941970310391364,3.6550008299234307,0.00012836413282314306
responses_bin,Количество откликов,2 или 3 отклика,2155,316,0.08074245939675175,0.04430379746835443,3.6438661928397313,0.022514648326243895
responses_bin,Количество откликов,4-10 откликов,3943,129,0.09713416180573167,0.03875968992248062,5.837447188325105,0.026277993382448375
has_item_view_label,Открытие карточки смены,Не открывал карточки смен,9225,7774,0.00021680216802168022,0.0,0.02168021680216802,0.19417957243552508
has_item_view_label,Открытие карточки смены,Открывал карточки смен,6337,1992,0.3159223607385198,0.18373493975903615,13.218742097948367,3.7988555209321154e-30
click_internet_adv_flg,Клик по интернет-рекламе,0,14923,9468,0.12195939154325537,0.03643852978453739,8.552086175871798,6.293731151450913e-116
click_internet_adv_flg,Клик по интернет-рекламе,1,639,298,0.28794992175273865,0.07046979865771812,21.74801230950205,6.420410221524898e-14
opened_push_flg,Открытие пуша,0,12538,8503,0.08350614133035572,0.02293308244149124,6.057305888886448,9.0836068880412e-75
opened_push_flg,Открытие пуша,1,3024,1263,0.31646825396825395,0.13539192399049882,18.107632997775514,1.242509276734375e-34
watched_stories_in_app_flg,Просмотр сторис,0,14137,9508,0.1145221758506048,0.0352334875893984,7.92886882612064,1.5764989277514878e-104
watched_stories_in_app_flg,Просмотр сторис,1,1425,258,0.27017543859649124,0.12015503875968993,15.002039983680133,2.745383156519182e-07
click_addv_communication_flg,Клик по внутренней коммуникации,0,15007,9766,0.11234757113347105,0.03747696088470203,7.487061024876901,6.182689409092882e-97
has_call_centre_communication_flg,Звонок колл-центра,0,15154,9682,0.11290748317275967,0.03201817806238381,8.088930511037587,1.81468200114436e-114
has_call_centre_communication_flg,Звонок колл-центра,1,408,84,0.7181372549019608,0.6666666666666666,5.147058823529416,0.3441046577659015
